ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
17UG,E07000036,Erewash CD,ONS7.12,2011/12,,,,,18.19263179,13.6494495,22.73581408,Not significantly different from England average
17UH,E07000037,High Peak CD,ONS5.7,2011/12,,,,,16.71349737,12.16961405,21.25738069,Not significantly different from England average
17UJ,E07000038,North East Derbyshire CD,ONS7.12,2011/12,,,,,19.06991031,13.85487611,24.28494451,Not significantly different from England average
17UK,E07000039,South Derbyshire CD,ONS5.7,2011/12,,,,,14.76485501,10.00065248,19.52905753,Significantly better than England average
18UB,E07000040,East Devon CD,ONS6.10,2011/12,,,,,19.05808059,14.84587882,23.27028237,Not significantly different from England average
18UC,E07000041,Exeter CD,ONS1.1,2011/12,,,,,18.68264246,13.86061154,23.50467338,Not significantly different from England average
18UD,E07000042,Mid Devon CD,ONS5.7,2011/12,,,,,21.07550436,15.13379123,27.01721749,Not significantly different from England average
18UE,E07000043,North Devon CD,ONS6.10,2011/12,,,,,22.36045439,17.24637123,27.47453755,Not significantly different from England average
18UG,E07000044,South Hams CD,ONS6.10,2011/12,,,,,20.76518602,15.84409099,25.68628106,Not significantly different from England average
18UH,E07000045,Teignbridge CD,ONS6.10,2011/12,,,,,22.71957157,18.19857757,27.24056557,Not significantly different from England average
18UK,E07000046,Torridge CD,ONS6.10,2011/12,,,,,20.05344509,14.15464319,25.952247,Not significantly different from England average
18UL,E07000047,West Devon CD,ONS6.10,2011/12,,,,,14.71987183,9.378059137,20.06168452,Not significantly different from England average
19UC,E07000048,Christchurch CD,ONS6.10,2011/12,,,,,16.17654619,10.99474337,21.35834901,Not significantly different from England average
19UD,E07000049,East Dorset CD,ONS5.7,2011/12,,,,,13.27108813,9.99509729,16.54707897,Significantly better than England average
19UE,E07000050,North Dorset CD,ONS5.7,2011/12,,,,,21.05284974,16.07811541,26.02758407,Not significantly different from England average
19UG,E07000051,Purbeck CD,ONS6.10,2011/12,,,,,17.22233768,11.61206363,22.83261173,Not significantly different from England average
19UH,E07000052,West Dorset CD,ONS6.10,2011/12,,,,,14.6713496,11.31925197,18.02344722,Significantly better than England average
19UJ,E07000053,Weymouth and Portland CD,ONS6.10,2011/12,,,,,23.92431202,18.60383873,29.24478532,Not significantly different from England average
21UC,E07000061,Eastbourne CD,ONS1.1,2011/12,,,,,21.1903401,15.8505584,26.5301218,Not significantly different from England average
21UD,E07000062,Hastings CD,ONS1.1,2011/12,,,,,27.0386632,21.0455312,33.0317952,Significantly worse than England average
21UF,E07000063,Lewes CD,ONS5.7,2011/12,,,,,20.04649147,15.13261843,24.96036451,Not significantly different from England average
21UG,E07000064,Rother CD,ONS6.10,2011/12,,,,,14.05706054,9.515373844,18.59874724,Significantly better than England average
21UH,E07000065,Wealden CD,ONS5.7,2011/12,,,,,18.20117276,14.45246063,21.94988488,Not significantly different from England average
22UB,E07000066,Basildon CD,ONS5.8,2011/12,,,,,15.70699067,11.87844699,19.53553435,Significantly better than England average
22UC,E07000067,Braintree CD,ONS5.7,2011/12,,,,,19.65922327,15.62057723,23.69786932,Not significantly different from England average
22UD,E07000068,Brentwood CD,ONS5.9,2011/12,,,,,14.40463441,8.199091807,20.61017701,Not significantly different from England average
22UE,E07000069,Castle Point CD,ONS5.7,2011/12,,,,,18.92996944,13.28482144,24.57511743,Not significantly different from England average
22UF,E07000070,Chelmsford CD,ONS5.9,2011/12,,,,,18.96274508,15.19115064,22.73433952,Not significantly different from England average
22UG,E07000071,Colchester CD,ONS5.7,2011/12,,,,,22.48460239,18.40854637,26.5606584,Not significantly different from England average
22UH,E07000072,Epping Forest CD,ONS5.9,2011/12,,,,,16.55190678,12.37406966,20.7297439,Not significantly different from England average
22UJ,E07000073,Harlow CD,ONS5.8,2011/12,,,,,23.0067834,16.85821509,29.15535172,Not significantly different from England average
22UK,E07000074,Maldon CD,ONS5.7,2011/12,,,,,18.78363055,13.09341998,24.47384113,Not significantly different from England average
22UL,E07000075,Rochford CD,ONS5.9,2011/12,,,,,15.42788581,9.704181927,21.1515897,Not significantly different from England average
22UN,E07000076,Tendring CD,ONS6.10,2011/12,,,,,22.03008722,17.50319903,26.55697541,Not significantly different from England average
22UQ,E07000077,Uttlesford CD,ONS5.9,2011/12,,,,,13.92191266,9.10000119,18.74382414,Significantly better than England average
23UB,E07000078,Cheltenham CD,ONS5.7,2011/12,,,,,17.94270751,13.22379643,22.66161858,Not significantly different from England average
23UC,E07000079,Cotswold CD,ONS5.7,2011/12,,,,,13.57199586,8.330162043,18.81382969,Significantly better than England average
23UD,E07000080,Forest of Dean CD,ONS5.7,2011/12,,,,,19.74477782,14.34786125,25.14169439,Not significantly different from England average
23UE,E07000081,Gloucester CD,ONS5.8,2011/12,,,,,25.14394543,20.07131654,30.21657432,Significantly worse than England average
23UF,E07000082,Stroud CD,ONS5.7,2011/12,,,,,20.6913503,15.90345749,25.47924311,Not significantly different from England average
23UG,E07000083,Tewkesbury CD,ONS5.7,2011/12,,,,,10.28303113,5.975412375,14.59064989,Significantly better than England average
24UB,E07000084,Basingstoke and Deane CD,ONS5.9,2011/12,,,,,20.24421932,16.02846824,24.4599704,Not significantly different from England average
24UC,E07000085,East Hampshire CD,ONS5.9,2011/12,,,,,15.34792335,10.95807206,19.73777464,Significantly better than England average
24UD,E07000086,Eastleigh CD,ONS5.7,2011/12,,,,,14.61633001,10.32219222,18.9104678,Significantly better than England average
24UE,E07000087,Fareham CD,ONS5.7,2011/12,,,,,17.78004797,13.34101148,22.21908446,Not significantly different from England average
24UF,E07000088,Gosport CD,ONS5.8,2011/12,,,,,20.3690338,14.29693365,26.44113395,Not significantly different from England average
24UG,E07000089,Hart CD,ONS5.9,2011/12,,,,,14.53429971,9.612590601,19.45600882,Significantly better than England average
24UH,E07000090,Havant CD,ONS7.12,2011/12,,,,,21.72411496,16.78699461,26.6612353,Not significantly different from England average
24UJ,E07000091,New Forest CD,ONS5.7,2011/12,,,,,16.77984856,13.45063496,20.10906216,Not significantly different from England average
