ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
00HA,E06000022,Bath and North East Somerset UA,ONS5.7,2011/12,n/a,n/a,702,,20.19982545,18.90600041,21.55865411,n/a
00HB,E06000023,Bristol UA,ONS1.1,2011/12,n/a,n/a,3289,,42.70373136,41.60930903,43.80534408,n/a
00HC,E06000024,North Somerset UA,ONS5.7,2011/12,n/a,n/a,1735,,34.58983103,33.30129143,35.90139193,n/a
00HD,E06000025,South Gloucestershire UA,ONS5.7,2011/12,n/a,n/a,2553,,36.64694649,35.54168044,37.76644552,n/a
00HE,E06000052,Cornwall UA,ONS6.10,2011/12,n/a,n/a,2550,,33.47074984,32.43467584,34.52300906,n/a
00HG,E06000026,Plymouth UA,ONS1.1,2011/12,n/a,n/a,1744,,41.06436353,39.60488942,42.53973815,n/a
00HH,E06000027,Torbay UA,ONS6.10,2011/12,n/a,n/a,870,,52.95123714,50.51760632,55.37091641,n/a
00HN,E06000028,Bournemouth UA,ONS1.1,2011/12,n/a,n/a,1720,,48.69804341,47.04180496,50.35714589,n/a
00HP,E06000029,Poole UA,ONS5.7,2011/12,n/a,n/a,802,,40.90623761,38.74149358,43.10682322,n/a
00HX,E06000030,Swindon UA,ONS5.8,2011/12,n/a,n/a,775,,19.64401365,18.44844535,20.89720798,n/a
00HY,E06000054,Wiltshire UA,ONS5.7,2011/12,n/a,n/a,1561,,18.74277537,17.92589617,19.58799537,n/a
00JA,E06000031,Peterborough UA,ONS5.8,2011/12,n/a,n/a,473,,25.95701856,24.00138946,28.01325732,n/a
00KA,E06000032,Luton UA,ONS2.4,2011/12,n/a,n/a,1824,,49.22537981,47.61805765,50.83430492,n/a
00KB,E06000055,Bedford UA,ONS5.8,2011/12,n/a,n/a,639,,24.13890062,22.55699028,25.794798,n/a
00KC,E06000056,Central Bedfordshire UA,ONS5.7,2011/12,n/a,n/a,1658,,29.98669623,28.80093703,31.19988148,n/a
00KF,E06000033,Southend-on-Sea UA,ONS1.1,2011/12,n/a,n/a,1184,,42.29437912,40.44561721,44.16497831,n/a
00KG,E06000034,Thurrock UA,ONS5.8,2011/12,n/a,n/a,690,,26.96779578,25.28216308,28.7226116,n/a
