ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
24UH,E07000090,Havant CD,ONS7.12,2011/12,n/a,n/a,35,,43.76865287,33.64349794,54.44098937,n/a
24UJ,E07000091,New Forest CD,ONS5.7,2011/12,n/a,n/a,63,,45.96778182,37.87049832,54.28369906,n/a
24UL,E07000092,Rushmoor CD,ONS5.8,2011/12,n/a,n/a,350,,48.10737327,44.55516632,51.67881643,n/a
24UN,E07000093,Test Valley CD,ONS5.9,2011/12,n/a,n/a,108,,54.48097771,47.39101323,61.39382291,n/a
24UP,E07000094,Winchester CD,ONS5.9,2011/12,n/a,n/a,76,,47.61379193,39.52843037,55.82619874,n/a
26UB,E07000095,Broxbourne CD,ONS5.8,2011/12,n/a,n/a,118,,40.46846385,34.89693141,46.29695286,n/a
26UC,E07000096,Dacorum CD,ONS5.9,2011/12,n/a,n/a,316,,44.09817139,40.43086949,47.83102094,n/a
26UD,E07000097,East Hertfordshire CD,ONS5.9,2011/12,n/a,n/a,92,,44.41963708,37.88485583,51.15333951,n/a
26UE,E07000098,Hertsmere CD,ONS5.9,2011/12,n/a,n/a,330,,36.95966132,33.88973908,40.13883157,n/a
26UF,E07000099,North Hertfordshire CD,ONS5.9,2011/12,n/a,n/a,339,,42.00105645,38.64161691,45.43628475,n/a
26UG,E07000240,St Albans CD,ONS5.9,2011/12,n/a,n/a,393,,35.80473396,33.01648061,38.69243971,n/a
26UH,E07000101,Stevenage CD,ONS5.8,2011/12,n/a,n/a,192,,45.2957677,40.53947947,50.13953243,n/a
26UJ,E07000102,Three Rivers CD,ONS5.9,2011/12,n/a,n/a,341,,34.15457776,31.32980442,37.0964539,n/a
26UK,E07000103,Watford CD,ONS1.3,2011/12,n/a,n/a,945,,39.89431072,37.90732196,41.91514455,n/a
26UL,E07000241,Welwyn Hatfield CD,ONS5.7,2011/12,n/a,n/a,265,,43.58416576,39.59272347,47.66051727,n/a
29UB,E07000105,Ashford CD,ONS5.7,2011/12,n/a,n/a,79,,37.72192749,31.36679781,44.52925917,n/a
29UC,E07000106,Canterbury CD,ONS5.7,2011/12,n/a,n/a,125,,43.17311459,37.55337386,48.97428886,n/a
29UD,E07000107,Dartford CD,ONS5.8,2011/12,n/a,n/a,320,,42.51703289,39.02403355,46.08637868,n/a
29UE,E07000108,Dover CD,ONS6.10,2011/12,n/a,n/a,45,,42.5289582,33.23571003,52.38198257,n/a
29UG,E07000109,Gravesham CD,ONS5.8,2011/12,n/a,n/a,704,,46.04921499,43.55120225,48.56723311,n/a
29UH,E07000110,Maidstone CD,ONS5.7,2011/12,n/a,n/a,192,,53.97152978,48.68006916,59.17495417,n/a
29UK,E07000111,Sevenoaks CD,ONS5.9,2011/12,n/a,n/a,69,,40.50379736,33.46780197,47.95286139,n/a
29UL,E07000112,Shepway CD,ONS6.10,2011/12,n/a,n/a,74,,33.65932843,27.70904928,40.17723026,n/a
29UM,E07000113,Swale CD,ONS7.12,2011/12,n/a,n/a,51,,45.63464109,36.67422758,54.88680012,n/a
29UN,E07000114,Thanet CD,ONS6.10,2011/12,n/a,n/a,73,,40.82503557,33.85069564,48.1895103,n/a
29UP,E07000115,Tonbridge and Malling CD,ONS5.9,2011/12,n/a,n/a,69,,45.84707538,37.96609838,53.94146226,n/a
29UQ,E07000116,Tunbridge Wells CD,ONS5.9,2011/12,n/a,n/a,159,,55.26032972,49.23414971,61.13584054,n/a
30UD,E07000117,Burnley CD,ONS1.2,2011/12,n/a,n/a,940,,44.62768085,42.41420451,46.8626674,n/a
30UE,E07000118,Chorley CD,ONS5.7,2011/12,n/a,n/a,126,,43.39753664,37.69126717,49.28438659,n/a
30UF,E07000119,Fylde CD,ONS6.10,2011/12,n/a,n/a,16,,12.82653754,8.066827935,19.79008971,n/a
30UG,E07000120,Hyndburn CD,ONS1.2,2011/12,n/a,n/a,1030,,46.01377172,43.81697981,48.22616174,n/a
30UH,E07000121,Lancaster CD,ONS1.1,2011/12,n/a,n/a,104,,46.26817682,39.47025053,53.20772977,n/a
30UJ,E07000122,Pendle CD,ONS1.2,2011/12,n/a,n/a,1969,,48.1101199,46.49047363,49.73374773,n/a
30UK,E07000123,Preston CD,ONS1.2,2011/12,n/a,n/a,1950,,40.41952909,39.01724691,41.83763341,n/a
