ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
42UF,E07000204,St Edmundsbury CD,ONS5.7,2010,n/a,n/a,0,111443,0,,,n/a
42UG,E07000205,Suffolk Coastal CD,ONS5.7,2010,n/a,n/a,0,124590,0,,,n/a
42UH,E07000206,Waveney CD,ONS6.10,2010,n/a,n/a,17570,115356,15.23111065,,,n/a
43UB,E07000207,Elmbridge CD,ONS5.9,2010,n/a,n/a,0,131428,0,,,n/a
43UC,E07000208,Epsom and Ewell CD,ONS5.9,2010,n/a,n/a,0,75191,0,,,n/a
43UD,E07000209,Guildford CD,ONS5.9,2010,n/a,n/a,0,137580,0,,,n/a
43UE,E07000210,Mole Valley CD,ONS5.9,2010,n/a,n/a,0,85637,0,,,n/a
43UF,E07000211,Reigate and Banstead CD,ONS5.9,2010,n/a,n/a,1553,138375,1.122312556,,,n/a
43UG,E07000212,Runnymede CD,ONS5.9,2010,n/a,n/a,0,80501,0,,,n/a
43UH,E07000213,Spelthorne CD,ONS5.9,2010,n/a,n/a,0,95852,0,,,n/a
43UJ,E07000214,Surrey Heath CD,ONS5.9,2010,n/a,n/a,0,86378,0,,,n/a
43UK,E07000215,Tandridge CD,ONS5.9,2010,n/a,n/a,0,83178,0,,,n/a
43UL,E07000216,Waverley CD,ONS5.9,2010,n/a,n/a,0,121754,0,,,n/a
43UM,E07000217,Woking CD,ONS5.9,2010,n/a,n/a,1566,99493,1.573980079,,,n/a
44UB,E07000218,North Warwickshire CD,ONS5.7,2010,n/a,n/a,3167,62089,5.100742483,,,n/a
44UC,E07000219,Nuneaton and Bedworth CD,ONS7.12,2010,n/a,n/a,23713,125409,18.90853129,,,n/a
44UD,E07000220,Rugby CD,ONS5.7,2010,n/a,n/a,3557,100496,3.539444356,,,n/a
44UE,E07000221,Stratford-on-Avon CD,ONS5.7,2010,n/a,n/a,0,120824,0,,,n/a
44UF,E07000222,Warwick CD,ONS5.7,2010,n/a,n/a,1330,137736,0.96561538,,,n/a
45UB,E07000223,Adur CD,ONS5.7,2010,n/a,n/a,5776,61334,9.417288943,,,n/a
45UC,E07000224,Arun CD,ONS6.10,2010,n/a,n/a,12944,149811,8.640220011,,,n/a
45UD,E07000225,Chichester CD,ONS6.10,2010,n/a,n/a,0,113995,0,,,n/a
45UE,E07000226,Crawley CD,ONS5.8,2010,n/a,n/a,1576,107053,1.472167992,,,n/a
45UF,E07000227,Horsham CD,ONS5.9,2010,n/a,n/a,0,131540,0,,,n/a
45UG,E07000228,Mid Sussex CD,ONS5.9,2010,n/a,n/a,0,140188,0,,,n/a
45UH,E07000229,Worthing CD,ONS1.1,2010,n/a,n/a,9056,104998,8.624926189,,,n/a
47UB,E07000234,Bromsgrove CD,ONS5.7,2010,n/a,n/a,0,93732,0,,,n/a
47UC,E07000235,Malvern Hills CD,ONS5.7,2010,n/a,n/a,1618,74706,2.165823361,,,n/a
47UD,E07000236,Redditch CD,ONS7.12,2010,n/a,n/a,20989,84318,24.89266823,,,n/a
47UE,E07000237,Worcester CD,ONS5.8,2010,n/a,n/a,16915,98679,17.1414384,,,n/a
47UF,E07000238,Wychavon CD,ONS5.7,2010,n/a,n/a,0,117074,0,,,n/a
47UG,E07000239,Wyre Forest CD,ONS5.7,2010,n/a,n/a,16903,98048,17.23951534,,,n/a
