ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
21UD,E07000062,Hastings CD,ONS1.1,2011/12,n/a,n/a,7338,,40.60979345,39.89842231,41.32512705,n/a
21UF,E07000063,Lewes CD,ONS5.7,2011/12,n/a,n/a,8231,,38.02484467,37.37893841,38.67501893,n/a
21UG,E07000064,Rother CD,ONS6.10,2011/12,n/a,n/a,7744,,37.78233421,37.11719847,38.45210068,n/a
21UH,E07000065,Wealden CD,ONS5.7,2011/12,n/a,n/a,11567,,37.38697456,36.84889678,37.92819054,n/a
22UB,E07000066,Basildon CD,ONS5.8,2011/12,n/a,n/a,12202,,38.72908401,38.19507837,39.26581234,n/a
22UC,E07000067,Braintree CD,ONS5.7,2011/12,n/a,n/a,10303,,41.67039106,41.05598691,42.28739344,n/a
22UD,E07000068,Brentwood CD,ONS5.9,2011/12,n/a,n/a,4761,,40.23025301,39.34406667,41.12286723,n/a
22UE,E07000069,Castle Point CD,ONS5.7,2011/12,n/a,n/a,7264,,36.80916278,36.14694449,37.47639258,n/a
22UF,E07000070,Chelmsford CD,ONS5.9,2011/12,n/a,n/a,11573,,38.88831167,38.33662246,39.44286177,n/a
22UG,E07000071,Colchester CD,ONS5.7,2011/12,n/a,n/a,12522,,41.67946278,41.12266084,42.23839529,n/a
22UH,E07000072,Epping Forest CD,ONS5.9,2011/12,n/a,n/a,10483,,41.63808697,41.03105611,42.24766439,n/a
22UJ,E07000073,Harlow CD,ONS5.8,2011/12,n/a,n/a,8458,,41.0585829,40.39129281,41.72917965,n/a
22UK,E07000074,Maldon CD,ONS5.7,2011/12,n/a,n/a,4176,,37.5289587,36.64249698,38.42386003,n/a
22UL,E07000075,Rochford CD,ONS5.9,2011/12,n/a,n/a,6250,,34.84658451,34.15950767,35.54002131,n/a
22UN,E07000076,Tendring CD,ONS6.10,2011/12,n/a,n/a,14101,,43.36893707,42.8333416,43.90608604,n/a
22UQ,E07000077,Uttlesford CD,ONS5.9,2011/12,n/a,n/a,4752,,36.20555971,35.39366827,37.02540183,n/a
23UB,E07000078,Cheltenham CD,ONS5.7,2011/12,n/a,n/a,8989,,37.30154691,36.69168835,37.91547123,n/a
23UC,E07000079,Cotswold CD,ONS5.7,2011/12,n/a,n/a,6450,,35.5649347,34.8756831,36.26022367,n/a
23UD,E07000080,Forest of Dean CD,ONS5.7,2011/12,n/a,n/a,5662,,34.67717885,33.95983613,35.40155147,n/a
23UE,E07000081,Gloucester CD,ONS5.8,2011/12,n/a,n/a,9703,,38.73937993,38.13854467,39.3436607,n/a
23UF,E07000082,Stroud CD,ONS5.7,2011/12,n/a,n/a,7691,,33.17680901,32.57841398,33.78068826,n/a
23UG,E07000083,Tewkesbury CD,ONS5.7,2011/12,n/a,n/a,6186,,35.13933707,34.44344934,35.8415976,n/a
24UB,E07000084,Basingstoke and Deane CD,ONS5.9,2011/12,n/a,n/a,14101,,43.8467574,43.30101011,44.39399746,n/a
24UC,E07000085,East Hampshire CD,ONS5.9,2011/12,n/a,n/a,8637,,42.09463356,41.41998581,42.77224659,n/a
24UD,E07000086,Eastleigh CD,ONS5.7,2011/12,n/a,n/a,9908,,41.14040951,40.51814591,41.76551946,n/a
24UE,E07000087,Fareham CD,ONS5.7,2011/12,n/a,n/a,8921,,44.27277298,43.58265472,44.96510949,n/a
24UF,E07000088,Gosport CD,ONS5.8,2011/12,n/a,n/a,6673,,47.21763771,46.39080721,48.04599748,n/a
24UG,E07000089,Hart CD,ONS5.9,2011/12,n/a,n/a,6559,,40.0278889,39.28422776,40.77617328,n/a
24UH,E07000090,Havant CD,ONS7.12,2011/12,n/a,n/a,11477,,46.8187996,46.18959262,47.44901986,n/a
24UJ,E07000091,New Forest CD,ONS5.7,2011/12,n/a,n/a,18578,,39.07306462,38.63399505,39.51391108,n/a
24UL,E07000092,Rushmoor CD,ONS5.8,2011/12,n/a,n/a,7630,,42.88776342,42.16513418,43.61343797,n/a
24UN,E07000093,Test Valley CD,ONS5.9,2011/12,n/a,n/a,8936,,40.85028576,40.19999272,41.50379729,n/a
24UP,E07000094,Winchester CD,ONS5.9,2011/12,n/a,n/a,8796,,43.30077082,42.61299099,43.99114192,n/a
26UB,E07000095,Broxbourne CD,ONS5.8,2011/12,n/a,n/a,6560,,38.49565725,37.77113488,39.22531706,n/a
26UC,E07000096,Dacorum CD,ONS5.9,2011/12,n/a,n/a,9184,,36.56378193,35.96982085,37.16185861,n/a
26UD,E07000097,East Hertfordshire CD,ONS5.9,2011/12,n/a,n/a,8587,,38.34040337,37.70744329,38.9773402,n/a
26UE,E07000098,Hertsmere CD,ONS5.9,2011/12,n/a,n/a,7639,,39.2729067,38.5867428,39.96333228,n/a
26UF,E07000099,North Hertfordshire CD,ONS5.9,2011/12,n/a,n/a,9162,,40.95636491,40.30929555,41.60658121,n/a
26UG,E07000240,St Albans CD,ONS5.9,2011/12,n/a,n/a,7860,,35.03954696,34.41375597,35.67052849,n/a
26UH,E07000101,Stevenage CD,ONS5.8,2011/12,n/a,n/a,6609,,46.34236891,45.51733431,47.16941084,n/a
26UJ,E07000102,Three Rivers CD,ONS5.9,2011/12,n/a,n/a,6351,,38.02067317,37.28763042,38.75922024,n/a
26UK,E07000103,Watford CD,ONS1.3,2011/12,n/a,n/a,5816,,40.24710086,39.44921819,41.05018073,n/a
26UL,E07000241,Welwyn Hatfield CD,ONS5.7,2011/12,n/a,n/a,7578,,43.6506861,42.90700974,44.39722873,n/a
29UB,E07000105,Ashford CD,ONS5.7,2011/12,n/a,n/a,9446,,38.92120871,38.31053274,39.53538047,n/a
29UC,E07000106,Canterbury CD,ONS5.7,2011/12,n/a,n/a,14325,,43.89610225,43.35526701,44.43839133,n/a
