ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
26UJ,E07000102,Three Rivers CD,ONS5.9,2010,n/a,n/a,4344,87921,4.940799126,,,n/a
26UK,E07000103,Watford CD,ONS1.3,2010,n/a,n/a,21925,90653,24.18563092,,,n/a
26UL,E07000241,Welwyn Hatfield CD,ONS5.7,2010,n/a,n/a,14185,110727,12.81078689,,,n/a
29UB,E07000105,Ashford CD,ONS5.7,2010,n/a,n/a,18128,118405,15.31016427,,,n/a
29UC,E07000106,Canterbury CD,ONS5.7,2010,n/a,n/a,23987,150600,15.92762284,,,n/a
29UD,E07000107,Dartford CD,ONS5.8,2010,n/a,n/a,19839,97604,20.32601123,,,n/a
29UE,E07000108,Dover CD,ONS6.10,2010,n/a,n/a,24268,111718,21.72255142,,,n/a
29UG,E07000109,Gravesham CD,ONS5.8,2010,n/a,n/a,25759,101766,25.31199025,,,n/a
29UH,E07000110,Maidstone CD,ONS5.7,2010,n/a,n/a,18633,155764,11.96232762,,,n/a
29UK,E07000111,Sevenoaks CD,ONS5.9,2010,n/a,n/a,9042,115351,7.83868367,,,n/a
29UL,E07000112,Shepway CD,ONS6.10,2010,n/a,n/a,31865,108199,29.45036461,,,n/a
29UM,E07000113,Swale CD,ONS7.12,2010,n/a,n/a,33252,136324,24.39188991,,,n/a
29UN,E07000114,Thanet CD,ONS6.10,2010,n/a,n/a,30762,134402,22.88805226,,,n/a
29UP,E07000115,Tonbridge and Malling CD,ONS5.9,2010,n/a,n/a,7187,121087,5.935401819,,,n/a
29UQ,E07000116,Tunbridge Wells CD,ONS5.9,2010,n/a,n/a,9927,115246,8.613747983,,,n/a
30UD,E07000117,Burnley CD,ONS1.2,2010,n/a,n/a,23592,87032,27.10727089,,,n/a
30UE,E07000118,Chorley CD,ONS5.7,2010,n/a,n/a,19173,107591,17.82026378,,,n/a
30UF,E07000119,Fylde CD,ONS6.10,2010,n/a,n/a,6961,76098,9.147415175,,,n/a
30UG,E07000120,Hyndburn CD,ONS1.2,2010,n/a,n/a,18382,80549,22.82089163,,,n/a
30UH,E07000121,Lancaster CD,ONS1.1,2010,n/a,n/a,26606,137823,19.30447023,,,n/a
30UJ,E07000122,Pendle CD,ONS1.2,2010,n/a,n/a,20145,89576,22.48928284,,,n/a
30UK,E07000123,Preston CD,ONS1.2,2010,n/a,n/a,22742,140054,16.23802248,,,n/a
30UL,E07000124,Ribble Valley CD,ONS5.7,2010,n/a,n/a,1368,57292,2.387767926,,,n/a
30UM,E07000125,Rossendale CD,ONS7.12,2010,n/a,n/a,23875,68053,35.08295005,,,n/a
30UN,E07000126,South Ribble CD,ONS5.7,2010,n/a,n/a,20314,109181,18.60580138,,,n/a
30UP,E07000127,West Lancashire CD,ONS5.7,2010,n/a,n/a,17972,110617,16.24705063,,,n/a
30UQ,E07000128,Wyre CD,ONS6.10,2010,n/a,n/a,8817,107692,8.187237678,,,n/a
31UB,E07000129,Blaby CD,ONS5.7,2010,n/a,n/a,1466,94132,1.557387498,,,n/a
31UC,E07000130,Charnwood CD,ONS5.7,2010,n/a,n/a,24047,165876,14.49697364,,,n/a
31UD,E07000131,Harborough CD,ONS5.7,2010,n/a,n/a,1523,85699,1.777150258,,,n/a
31UE,E07000132,Hinckley and Bosworth CD,ONS5.7,2010,n/a,n/a,10750,105328,10.20621297,,,n/a
31UG,E07000133,Melton CD,ONS5.7,2010,n/a,n/a,7687,50495,15.22328943,,,n/a
31UH,E07000134,North West Leicestershire CD,ONS5.7,2010,n/a,n/a,16411,93670,17.52001708,,,n/a
31UJ,E07000135,Oadby and Wigston CD,ONS5.7,2010,n/a,n/a,10613,55979,18.9588953,,,n/a
32UB,E07000136,Boston CD,ONS5.7,2010,n/a,n/a,26756,64615,41.40834172,,,n/a
32UC,E07000137,East Lindsey CD,ONS6.10,2010,n/a,n/a,44245,136683,32.37052157,,,n/a
32UD,E07000138,Lincoln CD,ONS1.1,2010,n/a,n/a,25208,93085,27.08062524,,,n/a
32UE,E07000139,North Kesteven CD,ONS5.7,2010,n/a,n/a,6408,108518,5.90501115,,,n/a
32UF,E07000140,South Holland CD,ONS5.7,2010,n/a,n/a,17950,88390,20.30772712,,,n/a
32UG,E07000141,South Kesteven CD,ONS5.7,2010,n/a,n/a,13710,134125,10.22180801,,,n/a
32UH,E07000142,West Lindsey CD,ONS5.7,2010,n/a,n/a,12618,89352,14.12167607,,,n/a
33UB,E07000143,Breckland CD,ONS5.7,2010,n/a,n/a,24514,131009,18.71169156,,,n/a
33UC,E07000144,Broadland CD,ONS5.7,2010,n/a,n/a,0,124740,0,,,n/a
33UD,E07000145,Great Yarmouth CD,ONS6.10,2010,n/a,n/a,26257,97424,26.95126458,,,n/a
33UE,E07000146,King's Lynn and West Norfolk CD,ONS5.7,2010,n/a,n/a,33609,147936,22.71860805,,,n/a
33UF,E07000147,North Norfolk CD,ONS6.10,2010,n/a,n/a,38304,101664,37.67705382,,,n/a
33UG,E07000148,Norwich CD,ONS1.1,2010,n/a,n/a,40485,132158,30.63378683,,,n/a
33UH,E07000149,South Norfolk CD,ONS5.7,2010,n/a,n/a,5400,124495,4.337523595,,,n/a
34UB,E07000150,Corby CD,ONS7.12,2010,n/a,n/a,20109,61607,32.64077134,,,n/a
34UC,E07000151,Daventry CD,ONS5.7,2010,n/a,n/a,6405,78070,8.20417574,,,n/a
34UD,E07000152,East Northamptonshire CD,ONS5.7,2010,n/a,n/a,16224,86869,18.67639779,,,n/a
34UE,E07000153,Kettering CD,ONS5.7,2010,n/a,n/a,16290,93846,17.35822518,,,n/a
34UF,E07000154,Northampton CD,ONS5.8,2010,n/a,n/a,47901,212492,22.54249572,,,n/a
34UG,E07000155,South Northamptonshire CD,ONS5.7,2010,n/a,n/a,0,85446,0,,,n/a
34UH,E07000156,Wellingborough CD,ONS5.8,2010,n/a,n/a,16480,75637,21.78827822,,,n/a
36UB,E07000163,Craven CD,ONS6.10,2010,n/a,n/a,2520,55459,4.543897293,,,n/a
36UC,E07000164,Hambleton CD,ONS5.7,2010,n/a,n/a,9488,89602,10.58904935,,,n/a
36UD,E07000165,Harrogate CD,ONS5.7,2010,n/a,n/a,5841,158683,3.680923602,,,n/a
36UE,E07000166,Richmondshire CD,ONS5.7,2010,n/a,n/a,1985,53287,3.72511119,,,n/a
36UF,E07000167,Ryedale CD,ONS6.10,2010,n/a,n/a,1793,51893,3.455186634,,,n/a
36UG,E07000168,Scarborough CD,ONS6.10,2010,n/a,n/a,32100,108735,29.52131328,,,n/a
36UH,E07000169,Selby CD,ONS5.7,2010,n/a,n/a,11569,83547,13.84729553,,,n/a
37UB,E07000170,Ashfield CD,ONS7.12,2010,n/a,n/a,41182,119522,34.4555814,,,n/a
37UC,E07000171,Bassetlaw CD,ONS7.12,2010,n/a,n/a,16994,113003,15.0385388,,,n/a
37UD,E07000172,Broxtowe CD,ONS5.7,2010,n/a,n/a,13373,109749,12.18507686,,,n/a
37UE,E07000173,Gedling CD,ONS5.7,2010,n/a,n/a,27082,113741,23.81023554,,,n/a
37UF,E07000174,Mansfield CD,ONS7.12,2010,n/a,n/a,30918,104551,29.57217052,,,n/a
37UG,E07000175,Newark and Sherwood CD,ONS5.7,2010,n/a,n/a,20257,114982,17.61754014,,,n/a
37UJ,E07000176,Rushcliffe CD,ONS5.7,2010,n/a,n/a,1236,111248,1.11103121,,,n/a
38UB,E07000177,Cherwell CD,ONS5.7,2010,n/a,n/a,14335,142252,10.07718696,,,n/a
38UC,E07000178,Oxford CD,ONS1.3,2010,n/a,n/a,33458,150245,22.2689607,,,n/a
38UD,E07000179,South Oxfordshire CD,ONS5.9,2010,n/a,n/a,4606,134961,3.412837783,,,n/a
38UE,E07000180,Vale of White Horse CD,ONS5.9,2010,n/a,n/a,0,121891,0,,,n/a
38UF,E07000181,West Oxfordshire CD,ONS5.7,2010,n/a,n/a,2841,105442,2.694372262,,,n/a
40UB,E07000187,Mendip CD,ONS5.7,2010,n/a,n/a,21707,109406,19.84077656,,,n/a
40UC,E07000188,Sedgemoor CD,ONS5.7,2010,n/a,n/a,22542,114919,19.6155553,,,n/a
40UD,E07000189,South Somerset CD,ONS5.7,2010,n/a,n/a,13774,162113,8.496542535,,,n/a
40UE,E07000190,Taunton Deane CD,ONS5.7,2010,n/a,n/a,17736,110555,16.04269368,,,n/a
40UF,E07000191,West Somerset CD,ONS6.10,2010,n/a,n/a,26259,34588,75.91939401,,,n/a
41UB,E07000192,Cannock Chase CD,ONS7.12,2010,n/a,n/a,29571,97582,30.30374454,,,n/a
41UC,E07000193,East Staffordshire CD,ONS7.12,2010,n/a,n/a,21114,113858,18.54415149,,,n/a
41UD,E07000194,Lichfield CD,ONS5.7,2010,n/a,n/a,7977,100911,7.904985581,,,n/a
41UE,E07000195,Newcastle-under-Lyme CD,ONS7.12,2010,n/a,n/a,29643,123878,23.9291884,,,n/a
41UF,E07000196,South Staffordshire CD,ONS5.7,2010,n/a,n/a,14085,108318,13.00337894,,,n/a
41UG,E07000197,Stafford CD,ONS5.7,2010,n/a,n/a,13711,130895,10.47480805,,,n/a
41UH,E07000198,Staffordshire Moorlands CD,ONS5.7,2010,n/a,n/a,15989,97209,16.44806551,,,n/a
41UK,E07000199,Tamworth CD,ONS7.12,2010,n/a,n/a,14625,76895,19.0194421,,,n/a
42UB,E07000200,Babergh CD,ONS5.7,2010,n/a,n/a,12415,87901,14.12384387,,,n/a
42UC,E07000201,Forest Heath CD,ONS5.8,2010,n/a,n/a,3206,60038,5.339951364,,,n/a
42UD,E07000202,Ipswich CD,ONS5.8,2010,n/a,n/a,31944,133729,23.88711499,,,n/a
42UE,E07000203,Mid Suffolk CD,ONS5.7,2010,n/a,n/a,1639,97076,1.688367877,,,n/a
42UF,E07000204,St Edmundsbury CD,ONS5.7,2010,n/a,n/a,16508,111443,14.81295371,,,n/a
42UG,E07000205,Suffolk Coastal CD,ONS5.7,2010,n/a,n/a,6071,124590,4.872782727,,,n/a
42UH,E07000206,Waveney CD,ONS6.10,2010,n/a,n/a,22096,115356,19.15461701,,,n/a
43UB,E07000207,Elmbridge CD,ONS5.9,2010,n/a,n/a,5855,131428,4.454910674,,,n/a
43UC,E07000208,Epsom and Ewell CD,ONS5.9,2010,n/a,n/a,5802,75191,7.716349031,,,n/a
43UD,E07000209,Guildford CD,ONS5.9,2010,n/a,n/a,9788,137580,7.114406164,,,n/a
