ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
19UD,E07000049,East Dorset CD,ONS5.7,2008 - 09,n/a,n/a,n/a,73751,23.12511244,14.55224647,41.34009555,Not significantly different from England average
19UE,E07000050,North Dorset CD,ONS5.7,2008 - 09,n/a,n/a,n/a,51594,24.091552,14.68280428,42.91839984,Not significantly different from England average
19UG,E07000051,Purbeck CD,ONS6.10,2008 - 09,n/a,n/a,n/a,37872,23.53536277,14.90871377,41.95807592,Not significantly different from England average
19UH,E07000052,West Dorset CD,ONS6.10,2008 - 09,n/a,n/a,n/a,80341,23.24884934,14.73270589,41.32882417,Not significantly different from England average
19UJ,E07000053,Weymouth and Portland CD,ONS6.10,2008 - 09,n/a,n/a,n/a,52604,22.53961491,14.40741586,41.25567958,Not significantly different from England average
21UC,E07000061,Eastbourne CD,ONS1.1,2008 - 09,n/a,n/a,n/a,80422,21.86330322,14.03859375,39.74642633,Not significantly different from England average
21UD,E07000062,Hastings CD,ONS1.1,2008 - 09,n/a,n/a,n/a,70545,22.15633462,14.33651537,39.94315059,Not significantly different from England average
21UF,E07000063,Lewes CD,ONS5.7,2008 - 09,n/a,n/a,n/a,80519,23.11222246,15.04305669,41.70808019,Not significantly different from England average
21UG,E07000064,Rother CD,ONS6.10,2008 - 09,n/a,n/a,n/a,75261,22.27193093,14.04536032,40.51821634,Not significantly different from England average
21UH,E07000065,Wealden CD,ONS5.7,2008 - 09,n/a,n/a,n/a,117911,23.34710355,14.82598779,40.64876165,Not significantly different from England average
22UB,E07000066,Basildon CD,ONS5.8,2008 - 09,n/a,n/a,n/a,139896,21.26361027,13.5079047,38.68461891,Not significantly different from England average
22UC,E07000067,Braintree CD,ONS5.7,2008 - 09,n/a,n/a,n/a,115572,23.82351797,15.02061045,42.63218797,Not significantly different from England average
22UD,E07000068,Brentwood CD,ONS5.9,2008 - 09,n/a,n/a,n/a,61018,23.47165968,14.87177572,41.52377968,Not significantly different from England average
22UE,E07000069,Castle Point CD,ONS5.7,2008 - 09,n/a,n/a,n/a,73791,22.31616065,13.73428086,41.27874654,Not significantly different from England average
22UF,E07000070,Chelmsford CD,ONS5.9,2008 - 09,n/a,n/a,n/a,138129,23.44954987,14.95295069,41.94465625,Not significantly different from England average
22UG,E07000071,Colchester CD,ONS5.7,2008 - 09,n/a,n/a,n/a,148733,23.58775013,15.29232914,41.63369467,Not significantly different from England average
22UH,E07000072,Epping Forest CD,ONS5.9,2008 - 09,n/a,n/a,n/a,101349,22.59012787,14.47969861,40.61496146,Not significantly different from England average
22UJ,E07000073,Harlow CD,ONS5.8,2008 - 09,n/a,n/a,n/a,64842,20.66732046,12.89185899,38.95561211,Not significantly different from England average
22UK,E07000074,Maldon CD,ONS5.7,2008 - 09,n/a,n/a,n/a,51661,24.03287157,15.09148573,43.00256188,Not significantly different from England average
22UL,E07000075,Rochford CD,ONS5.9,2008 - 09,n/a,n/a,n/a,67998,23.1374034,14.17792586,42.8306565,Not significantly different from England average
22UN,E07000076,Tendring CD,ONS6.10,2008 - 09,n/a,n/a,n/a,124607,21.00698699,13.08409536,38.80790051,Not significantly different from England average
22UQ,E07000077,Uttlesford CD,ONS5.9,2008 - 09,n/a,n/a,n/a,61523,24.65978181,15.82140819,44.17640045,Not significantly different from England average
23UB,E07000078,Cheltenham CD,ONS5.7,2008 - 09,n/a,n/a,n/a,94961,24.15922637,15.72373082,42.23166061,Not significantly different from England average
23UC,E07000079,Cotswold CD,ONS5.7,2008 - 09,n/a,n/a,n/a,69203,24.31211962,15.24701221,42.67621133,Not significantly different from England average
23UD,E07000080,Forest of Dean CD,ONS5.7,2008 - 09,n/a,n/a,n/a,68244,24.29590764,15.11346182,43.07549906,Not significantly different from England average
23UE,E07000081,Gloucester CD,ONS5.8,2008 - 09,n/a,n/a,n/a,94617,22.13558223,14.12223608,40.04975436,Not significantly different from England average
23UF,E07000082,Stroud CD,ONS5.7,2008 - 09,n/a,n/a,n/a,90767,23.6624635,15.00405948,42.06484891,Not significantly different from England average
23UG,E07000083,Tewkesbury CD,ONS5.7,2008 - 09,n/a,n/a,n/a,67072,23.55031151,15.14192632,41.78545263,Not significantly different from England average
24UB,E07000084,Basingstoke and Deane CD,ONS5.9,2008 - 09,n/a,n/a,n/a,132133,23.88258826,15.05652939,43.28947158,Not significantly different from England average
