ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
44UB,E07000218,North Warwickshire CD,ONS5.7,2011/12,n/a,n/a,16,,43.55465915,27.64817961,60.9085214,n/a
44UC,E07000219,Nuneaton and Bedworth CD,ONS7.12,2011/12,n/a,n/a,59,,46.49940313,37.25840264,55.98714847,n/a
44UD,E07000220,Rugby CD,ONS5.7,2011/12,n/a,n/a,91,,37.23016617,30.8588882,44.07827752,n/a
44UE,E07000221,Stratford-on-Avon CD,ONS5.7,2011/12,n/a,n/a,53,,49.03082712,38.55238159,59.59513293,n/a
44UF,E07000222,Warwick CD,ONS5.7,2011/12,n/a,n/a,122,,44.94547642,38.49198303,51.57372286,n/a
45UB,E07000223,Adur CD,ONS5.7,2011/12,n/a,n/a,36,,37.69648147,28.30388243,48.11427815,n/a
45UC,E07000224,Arun CD,ONS6.10,2011/12,n/a,n/a,48,,38.25560224,29.59207017,47.73587452,n/a
45UD,E07000225,Chichester CD,ONS6.10,2011/12,n/a,n/a,51,,47.3526522,36.80855028,58.13828656,n/a
45UE,E07000226,Crawley CD,ONS5.8,2011/12,n/a,n/a,174,,51.47467646,45.48220919,57.42504065,n/a
45UF,E07000227,Horsham CD,ONS5.9,2011/12,n/a,n/a,52,,41.38555684,32.79889533,50.52989215,n/a
45UG,E07000228,Mid Sussex CD,ONS5.9,2011/12,n/a,n/a,41,,33.6931324,25.72898001,42.70503208,n/a
45UH,E07000229,Worthing CD,ONS1.1,2011/12,n/a,n/a,93,,47.65613593,40.46814427,54.9425512,n/a
47UB,E07000234,Bromsgrove CD,ONS5.7,2011/12,n/a,n/a,49,,44.62160779,35.4275195,54.19900882,n/a
47UC,E07000235,Malvern Hills CD,ONS5.7,2011/12,n/a,n/a,24,,55.37307061,39.00747947,70.65132899,n/a
47UD,E07000236,Redditch CD,ONS7.12,2011/12,n/a,n/a,64,,49.90546041,40.76432154,59.05292349,n/a
47UE,E07000237,Worcester CD,ONS5.8,2011/12,n/a,n/a,54,,29.88084267,23.33533093,37.36746282,n/a
47UF,E07000238,Wychavon CD,ONS5.7,2011/12,n/a,n/a,34,,38.73991902,27.91355945,50.80587215,n/a
47UG,E07000239,Wyre Forest CD,ONS5.7,2011/12,n/a,n/a,32,,44.403436,32.9594062,56.47376982,n/a
