ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
00BC,E09000026,Redbridge LB,ONS2.4,2010,n/a,n/a,119619,281395,42.5092841,,,n/a
00BD,E09000027,Richmond upon Thames LB,ONS1.3,2010,n/a,n/a,21689,187527,11.56580119,,,n/a
00BE,E09000028,Southwark LB,ONS4.6,2010,n/a,n/a,39707,288717,13.75291375,,,n/a
00BF,E09000029,Sutton LB,ONS1.3,2010,n/a,n/a,44664,191123,23.36924389,,,n/a
00BG,E09000030,Tower Hamlets LB,ONS3.5,2010,n/a,n/a,34475,256012,13.46616565,,,n/a
00BH,E09000031,Waltham Forest LB,ONS2.4,2010,n/a,n/a,16105,259742,6.200383457,,,n/a
00BJ,E09000032,Wandsworth LB,ONS3.5,2010,n/a,n/a,98606,307710,32.04510741,,,n/a
00BK,E09000033,City of Westminster LB,ONS3.5,2010,n/a,n/a,75563,219582,34.41220136,,,n/a
00BL,E08000001,Bolton MCD,ONS1.2,2010,n/a,n/a,42165,277296,15.20577289,,,n/a
00BM,E08000002,Bury MCD,ONS5.7,2010,n/a,n/a,45158,185422,24.35417588,,,n/a
00BN,E08000003,Manchester MCD,ONS1.2,2010,n/a,n/a,60480,502902,12.02619994,,,n/a
00BP,E08000004,Oldham MCD,ONS1.2,2010,n/a,n/a,34318,225157,15.24180905,,,n/a
00BQ,E08000005,Rochdale MCD,ONS1.2,2010,n/a,n/a,25441,211929,12.00449207,,,n/a
00BR,E08000006,Salford MCD,ONS1.1,2010,n/a,n/a,37445,234487,15.96890233,,,n/a
00BS,E08000007,Stockport MCD,ONS5.7,2010,n/a,n/a,53550,283253,18.90536023,,,n/a
00BT,E08000008,Tameside MCD,ONS7.11,2010,n/a,n/a,38972,219727,17.73655491,,,n/a
00BU,E08000009,Trafford MCD,ONS5.7,2010,n/a,n/a,40407,227091,17.79330753,,,n/a
00BW,E08000010,Wigan MCD,ONS7.12,2010,n/a,n/a,51154,318122,16.07999447,,,n/a
00BX,E08000011,Knowsley MCD,ONS7.11,2010,n/a,n/a,35282,145903,24.18181943,,,n/a
00BY,E08000012,Liverpool MCD,ONS1.1,2010,n/a,n/a,50388,465656,10.82086347,,,n/a
00BZ,E08000013,St Helens MCD,ONS7.11,2010,n/a,n/a,27466,175405,15.65861863,,,n/a
00CA,E08000014,Sefton MCD,ONS7.11,2010,n/a,n/a,66321,273969,24.20748333,,,n/a
